cik,feature_year,actual_label,predicted_score,risk_tier,scenario_score
0001324948,2022,0,0.022621300281472013,Routine Monitoring,0.025129898467004
0001325702,2022,1,0.2880486555443906,Medium Review Priority,0.3106368090602658
0001326380,2022,1,0.1309978809257635,Routine Monitoring,0.14375721426855692
0001326732,2022,0,0.6957483240600384,High Review Priority,0.7093304525332484
0001326801,2022,0,0.0029772273290440588,Routine Monitoring,0.003314776312570754
0001327318,2022,1,0.9386723447667757,High Review Priority,0.9448608716282789
0001327567,2022,0,0.012745734434326944,Routine Monitoring,0.014175060961510498
0001327688,2022,0,0.11110556906021052,Routine Monitoring,0.12219982748394415
0001327811,2022,0,0.02110311419305561,Routine Monitoring,0.023447391488328757
0001328581,2022,0,0.007161419350259253,Routine Monitoring,0.008085374043672855
0001333274,2022,1,0.02250301046333912,Routine Monitoring,0.02499882637136509
0001334036,2022,0,0.013435353115070506,Routine Monitoring,0.014940844189999266
0001334978,2022,0,0.044443603697723474,Routine Monitoring,0.049935717578886846
0001336047,2022,0,0.02976257411491059,Routine Monitoring,0.033504091660173464
0001336917,2022,0,0.13275291110491597,Routine Monitoring,0.14565453448799645
0001336920,2022,0,0.02699313726512349,Routine Monitoring,0.029971684986113977
0001337013,2022,0,0.04480386861989567,Routine Monitoring,0.04750466997749645
0001337298,2022,0,0.09650871958596205,Routine Monitoring,0.10631976966269407
0001337619,2022,0,0.07455419226711364,Routine Monitoring,0.08233674726216501
0001339605,2022,0,0.012402341209148631,Routine Monitoring,0.013793697119106678
0001340122,2022,1,0.042471748684599145,Routine Monitoring,0.04707564313289314
0001340476,2022,0,0.6473691122923406,High Review Priority,0.6715560055214985
0001341439,2022,0,0.010564386839707311,Routine Monitoring,0.011922114767042523
0001341766,2022,0,0.1528024648771861,Routine Monitoring,0.166655583099091
0001345126,2022,0,0.07338912113128035,Routine Monitoring,0.08106070956206778
0001347178,2022,1,0.14647801500532392,Routine Monitoring,0.16046670856722695
0001349436,2022,0,0.03455424458161122,Routine Monitoring,0.03648772035336044
0001350593,2022,0,0.07727247802945023,Routine Monitoring,0.0853126309624613
0001350653,2022,1,0.7061870366525744,High Review Priority,0.730904476746522
0001352010,2022,0,0.0352909185492066,Routine Monitoring,0.03914824272290733
0001352081,2022,0,0.009781429821096413,Routine Monitoring,0.011039655363812231
0001354327,2022,0,0.02919543929042028,Routine Monitoring,0.03240890496319576
0001355096,2022,0,0.12479646249160022,Routine Monitoring,0.1370470295201474
0001356576,2022,0,0.05617243589629606,Routine Monitoring,0.06216505200995769
0001357615,2022,0,0.06687716265960196,Routine Monitoring,0.073922341697906
0001357971,2022,0,0.045756924831758417,Routine Monitoring,0.050698074161243424
0001359687,2022,0,0.015705798192588456,Routine Monitoring,0.016923453199604407
0001359841,2022,0,0.12279866217345602,Routine Monitoring,0.13488334060764715
0001361113,2022,0,0.22546914493261422,Routine Monitoring,0.2475364777680665
0001361538,2022,0,0.05148873827038302,Routine Monitoring,0.05701186825590394
0001364885,2022,1,0.15697373425475822,Routine Monitoring,0.17384188370141984
0001365135,2022,0,0.028567071267499147,Routine Monitoring,0.0317136334825567
0001366561,2022,0,0.1678200629378421,Routine Monitoring,0.1834089560769939
0001367644,2022,1,0.33976367147378506,Medium Review Priority,0.3643319165239586
0001368265,2022,0,0.13068769089372512,Routine Monitoring,0.14342179778231057
0001368458,2022,0,0.0504705611906106,Routine Monitoring,0.055890908333457
0001368622,2022,0,0.15301878284626233,Routine Monitoring,0.16954741299846396
0001369568,2022,0,0.003871442928805485,Routine Monitoring,0.004296740254879221
0001370637,2022,0,0.030316547099618278,Routine Monitoring,0.033649133090716946
0001370946,2022,0,0.014404904347230837,Routine Monitoring,0.016017274094971983
0001371451,2022,0,0.008545462623602246,Routine Monitoring,0.009213180049579687
0001372020,2022,0,0.15685506729474077,Routine Monitoring,0.17163548901893452
0001372612,2022,0,0.012729721355577012,Routine Monitoring,0.014157277902034191
0001373715,2022,0,0.008068864037192298,Routine Monitoring,0.008978488783707037
0001375365,2022,0,0.14075024537809128,Routine Monitoring,0.15429081688460064
0001376139,2022,0,0.01129357100674623,Routine Monitoring,0.012743806167396269
0001376339,2022,0,0.5524255267226165,High Review Priority,0.5788884420808768
0001376986,2022,0,0.032845889783417244,Routine Monitoring,0.036960251971218154
0001377630,2022,1,0.139652777231493,Routine Monitoring,0.14592943669197483
0001377789,2022,0,0.12478418942618588,Routine Monitoring,0.13703374031327137
0001378950,2022,0,0.10300366219303204,Routine Monitoring,0.1133921190664892
0001378992,2022,0,0.027957525646847725,Routine Monitoring,0.031039093786048372
0001381531,2022,0,0.006356077707081338,Routine Monitoring,0.006356077707081338
0001383312,2022,0,0.025409202424071457,Routine Monitoring,0.02821804017590655
